describes the variables,"0 = no, 1 = yes","0 = no,         1 = yes",1 = C    2 = F,"0 = no,   1 = yes",anchored scale from -2 to 2,anchored scale from -2 to 2,anchored scale from -2 to 2
Scenario #,Called robot,Approached by robot,Style,Hungry?,impolite (-2) vs. polite (+2),unexpected (-2) vs. expected (+2),impatient (-2) vs. patient (+2)
19,0,1,1,0,0,1,1
19,0,1,1,0,1,1,1
20,0,1,2,0,-1,1,-2
20,0,1,2,0,-2,0,-2
21,1,1,1,0,2,2,1
21,0,1,1,0,1,2,2
22,0,1,2,0,-2,1,-2
22,1,1,2,0,-1,1,-2
23,1,1,1,0,1,1,2
23,0,1,1,0,1,1,1
24,0,1,2,0,-1,-1,-2
24,1,1,2,0,0,-1,-1
25,0,1,1,1,1,0,2
25,0,0,1,1,0,0,0
26,0,1,2,1,0,-1,0
26,0,0,2,1,-1,-1,-1
27,1,1,1,1,2,2,2
27,0,0,1,1,0,2,0
28,1,1,2,1,0,1,-1
28,0,0,2,1,-1,1,-1
29,0,0,1,1,1,0,2
29,1,1,1,1,0,1,0
30,1,1,2,1,1,1,-1
30,0,0,2,1,-1,1,0
49,0,0,1,1,1,0,1
49,0,1,1,1,1,-1,0
50,0,1,2,1,-1,0,-2
50,0,0,2,1,-2,-1,-2
51,0,1,1,1,0,1,0
51,1,0,1,1,1,-1,-1
52,0,1,2,1,-2,1,-2
52,1,0,2,1,-2,-1,-2
53,1,0,1,1,0,1,0
53,0,1,1,1,1,0,0
54,1,0,2,1,0,1,0
54,0,1,2,1,-1,1,-1
